RSSI,IOT,MCS,CQI,RSRP,RSRQ,BW_Utilization (%),RB_Allocation,UE_Status,QoS_Class,Beamforming,Traffic_Load (kbps),Latency (ms),Backhaul_Status,Mobility,Frequency_Layer,Network_Slice,Handover_Metrics (ms),Retransmission_Rate (%),NFV_Status,Physical_Cell_ID,Active_Features,Energy_Consumption (Watts),UE_Demand (kbps),Current_Resource_Allocation (%),Channel_Conditions
-75,-61,0,4,-91,-11,75.25645785,95,connected,8,40,10723,87,0,stationary,sub-6 GHz,2,135,12.20182309,1,34,MIMO,122,4871,19.17861459,6
-110,-19,22,3,-80,-13,100,250,connected,4,0,9584,115,0,stationary,sub-6 GHz,2,97,10.97780577,0,289,carrier aggregation,498,6698,39.57190143,9
-109,-65,1,13,-89,-18,80.14542975,195,connected,2,46,9589,81,1,stationary,sub-6 GHz,1,376,16.58740706,0,319,None,438,11545,0.40659559,7
-94,-48,19,3,-126,-7,72.08432469,101,connected,1,60,10950,83,0,high-speed,sub-6 GHz,2,264,23.69373614,1,410,MIMO,361,3948,45.9505602,7
-94,-49,6,15,-95,-13,29.45284301,260,connected,8,62,10509,100,0,high-speed,sub-6 GHz,4,33,6.420808275,1,274,None,45,5513,67.83949535,9
-80,-53,31,6,-80,-18,65.86606873,232,connected,6,12,9218,120,0,high-speed,millimeter wave,1,253,8.17296652,0,492,carrier aggregation,68,11786,85.86944649,2
-111,-66,9,5,-124,-10,100,27,connected,6,16,8279,43,0,high-speed,millimeter wave,2,27,10.21249644,0,325,carrier aggregation,377,9315,39.03911418,6
-91,-29,26,9,-127,-17,64.95091507,118,connected,8,12,11669,99,0,stationary,millimeter wave,2,441,17.16929064,1,325,carrier aggregation,18,12781,60.83799958,7
-81,-37,17,6,-82,-17,45.39433898,64,connected,9,19,4718,87,1,high-speed,millimeter wave,1,115,10.42192125,1,214,MIMO,35,9695,26.02590229,9
-102,-100,1,6,-81,-18,9.254354244,170,handover,8,3,6615,101,1,high-speed,millimeter wave,3,147,21.39854773,0,39,carrier aggregation,23,12385,79.72208827,7
-91,-58,20,11,-87,-16,88.63423722,199,connected,5,25,10905,15,1,high-speed,sub-6 GHz,4,414,24.13248813,1,149,None,359,14653,3.801675346,3
-93,-11,19,1,-122,-20,96.94472002,101,connected,5,7,8945,51,0,high-speed,sub-6 GHz,3,80,13.79341207,0,393,None,291,8887,79.73658463,2
-106,-81,10,4,-127,-7,100,98,idle,1,58,11657,27,0,high-speed,sub-6 GHz,4,463,20.81202861,0,125,MIMO,39,6799,4.854286336,0
-88,-18,26,15,-98,-7,47.74264531,105,connected,1,7,14694,31,1,stationary,millimeter wave,4,414,17.61121834,1,275,carrier aggregation,153,11865,12.09032252,7
-81,-43,16,2,-134,-20,18.57462313,106,connected,3,54,5928,79,1,high-speed,sub-6 GHz,3,473,3.621197587,1,471,None,460,3664,29.86669129,9
-89,-40,3,6,-104,-5,39.9361786,152,connected,6,60,8818,74,0,stationary,millimeter wave,0,244,6.45102951,0,245,carrier aggregation,433,5751,16.11157776,8
-102,-97,20,6,-109,-19,42.77955901,242,connected,4,3,8008,54,0,stationary,sub-6 GHz,2,272,9.886410294,0,492,None,360,7185,15.39958354,1
-75,-16,14,1,-133,-4,84.1235399,194,connected,8,28,7292,77,0,stationary,millimeter wave,1,109,7.120911391,0,189,carrier aggregation,167,5230,39.92231531,10
-81,-13,1,13,-125,-9,70.86251716,192,connected,5,6,8108,94,0,stationary,sub-6 GHz,0,6,7.616246421,1,3,None,89,9786,38.20187246,0
-120,-52,11,12,-116,-16,37.76881593,164,connected,5,20,12279,82,0,stationary,sub-6 GHz,2,258,11.19774855,0,84,carrier aggregation,86,4278,4.86116464,4
-100,-1,4,2,-138,-8,38.99584276,260,connected,1,29,10008,93,1,high-speed,millimeter wave,0,79,23.38805402,1,271,MIMO,477,4963,8.178146359,10
-116,-66,10,5,-135,-5,63.85368906,205,connected,5,12,7713,33,0,high-speed,millimeter wave,2,55,17.66550175,1,115,carrier aggregation,60,11174,70.45145397,0
-88,-52,19,15,-87,-18,45.03913389,264,connected,0,33,12529,78,1,stationary,sub-6 GHz,3,106,13.21812659,1,24,MIMO,22,5236,64.76426181,0
-91,-97,11,11,-80,-16,28.67481253,170,idle,2,5,11360,87,0,stationary,millimeter wave,3,300,7.115804631,0,240,MIMO,225,9345,96.38719554,3
-118,-7,22,14,-134,-20,61.95621647,78,connected,8,63,12085,91,0,stationary,millimeter wave,1,288,16.96513964,1,404,carrier aggregation,83,3477,7.27994366,2
-111,-42,14,11,-136,-7,49.98731389,192,handover,3,45,7448,52,1,high-speed,sub-6 GHz,4,331,9.246754992,1,132,None,256,11944,68.50684386,3
-90,-52,29,1,-83,-15,100,122,connected,2,53,3049,106,1,stationary,sub-6 GHz,0,451,15.23705189,0,138,MIMO,419,11653,64.51646295,10
-106,-66,15,14,-134,-20,100,208,connected,6,12,10108,36,1,high-speed,sub-6 GHz,2,312,4.58686949,1,16,MIMO,45,4401,94.31412566,4
-116,-58,21,6,-105,-18,55.42955306,210,connected,1,50,12851,57,1,high-speed,sub-6 GHz,0,314,15.45470417,1,127,MIMO,309,10277,71.8309099,3
-98,-32,10,5,-111,-11,22.37820422,171,connected,5,25,12378,26,0,high-speed,sub-6 GHz,0,60,8.797961835,1,4,MIMO,477,5211,62.36630856,0
-110,-63,14,2,-121,-17,100,120,connected,3,19,10627,94,0,stationary,millimeter wave,3,18,8.911108302,0,18,None,115,7211,49.47974894,9
-80,-16,1,14,-113,-16,61.14018302,153,connected,1,23,12562,80,1,high-speed,millimeter wave,4,5,6.337525779,1,43,MIMO,461,10528,6.42283483,0
-83,-49,10,10,-121,-5,36.53801247,199,connected,6,5,6953,49,1,stationary,millimeter wave,1,366,20.72276546,0,128,None,411,5842,39.40856791,4
-91,-46,19,4,-137,-4,74.00645942,184,connected,9,39,8756,111,1,stationary,millimeter wave,4,261,6.628950279,0,424,MIMO,76,11887,53.8200422,9
-104,-47,6,15,-129,-15,89.62885656,274,connected,6,56,5684,101,1,high-speed,sub-6 GHz,2,294,11.91611222,1,157,None,225,9289,23.88537334,10
-112,-86,10,10,-138,-7,7.903779804,130,connected,1,18,5952,59,1,stationary,sub-6 GHz,2,7,17.61531607,0,135,None,373,8856,20.75443942,8
-85,-87,23,12,-139,-12,83.19195847,233,connected,6,47,8742,62,1,high-speed,sub-6 GHz,2,4,6.17677388,1,300,MIMO,175,9533,8.782749933,9
-117,-89,21,4,-103,-13,73.87963622,19,connected,1,39,10319,76,0,stationary,sub-6 GHz,0,262,8.92059348,0,348,None,83,12753,31.5116967,9
-77,-68,17,12,-136,-6,12.29826442,193,connected,4,23,12882,87,0,high-speed,sub-6 GHz,0,190,10.38818288,1,48,carrier aggregation,321,7787,11.30453448,7
-84,-29,22,0,-132,-18,100,65,connected,2,55,7639,15,1,stationary,millimeter wave,1,215,8.415331368,0,247,None,268,4621,13.45578319,9
-79,-17,3,10,-138,-8,20.03889912,37,connected,6,29,13570,70,0,high-speed,millimeter wave,0,445,20.00874407,0,456,None,73,6169,38.86601855,2
-112,-45,26,4,-139,-14,5.071252537,94,connected,5,61,9603,18,0,stationary,millimeter wave,4,404,1.366123743,0,44,None,305,8682,62.75693544,8
-110,-37,14,0,-95,-11,74.10932477,152,connected,0,19,4625,113,0,stationary,millimeter wave,3,51,15.73061463,1,311,MIMO,168,7058,17.5127533,4
-90,-66,10,14,-134,-4,56.66323754,184,connected,8,18,3711,74,1,high-speed,sub-6 GHz,0,286,17.0011554,1,235,carrier aggregation,27,5789,13.06421294,5
-81,-38,10,5,-126,-16,6.214701006,126,connected,6,1,9777,99,0,high-speed,sub-6 GHz,0,301,19.45548081,0,242,carrier aggregation,342,11046,6.857116472,7
-119,-13,5,13,-121,-6,64.34247269,227,connected,0,61,8993,94,1,stationary,sub-6 GHz,2,110,5.242302487,1,341,carrier aggregation,250,11137,10.63507009,1
-85,-71,25,5,-72,-10,32.1947335,65,connected,9,5,15008,13,0,high-speed,sub-6 GHz,4,439,20.2993291,0,315,MIMO,435,13983,73.1761445,0
-84,-72,10,3,-124,-11,99.40531746,135,connected,9,54,12399,61,0,stationary,sub-6 GHz,0,62,4.198938569,0,294,MIMO,28,4623,67.16648526,8
-102,-90,19,14,-114,-15,100,154,connected,9,52,6135,28,0,high-speed,millimeter wave,0,296,12.89845614,1,333,MIMO,36,4987,46.26037769,2
-73,-13,9,10,-72,-11,100,37,connected,5,27,10703,62,1,high-speed,millimeter wave,0,25,14.42718548,1,391,carrier aggregation,55,12993,41.63809359,3
-120,-71,24,1,-118,-19,65.7043924,247,connected,4,55,7121,95,1,stationary,millimeter wave,3,141,18.31377909,0,152,MIMO,296,5065,39.79603004,4
-94,-46,11,11,-120,-20,40.77788072,272,connected,4,5,9301,67,1,high-speed,millimeter wave,3,383,6.597114663,0,173,MIMO,456,12433,15.8274847,0
-110,-47,26,1,-114,-6,69.85761334,30,connected,6,25,10329,14,0,stationary,sub-6 GHz,1,105,16.84548145,1,447,carrier aggregation,456,5975,37.51992499,3
-82,-1,6,15,-84,-11,94.98906078,46,idle,9,38,9772,79,0,high-speed,sub-6 GHz,2,116,2.474093997,1,158,None,395,11370,19.887311,6
-114,-96,24,1,-114,-20,22.33475366,36,connected,2,46,13419,68,1,stationary,millimeter wave,0,38,17.63377071,0,205,carrier aggregation,351,9995,81.89326388,0
-114,-64,17,14,-71,-11,89.51422066,108,connected,7,58,10404,45,0,high-speed,sub-6 GHz,2,218,14.29074571,1,284,MIMO,299,11293,27.65470424,6
-88,-24,21,8,-117,-19,53.06678637,217,connected,2,50,10140,99,1,stationary,millimeter wave,2,28,7.679535847,0,495,MIMO,76,4578,85.45851103,6
-79,-86,7,2,-78,-13,100,260,connected,1,21,13368,114,0,stationary,sub-6 GHz,3,416,18.48300616,1,341,carrier aggregation,5,6763,6.706423757,9
-82,-29,24,13,-89,-15,73.42294429,40,connected,4,37,7413,53,0,high-speed,sub-6 GHz,3,172,10.02461125,1,380,MIMO,484,8482,27.63725422,3
-87,-8,20,0,-115,-9,34.98779803,33,connected,7,18,10210,28,1,stationary,sub-6 GHz,1,474,4.702673303,0,213,carrier aggregation,452,6801,95.36386964,6
-99,-2,10,9,-83,-9,46.23994678,235,connected,5,21,12346,47,0,stationary,millimeter wave,3,380,6.26871776,1,417,MIMO,450,10306,2.410254948,4
-102,-9,4,12,-74,-5,64.17760667,62,connected,4,53,7250,42,0,stationary,millimeter wave,2,86,8.267864518,1,351,None,272,7803,51.06829875,0
-74,-52,13,0,-109,-11,80.78977377,201,connected,6,20,13426,25,1,high-speed,millimeter wave,4,152,17.93536607,1,372,MIMO,302,4128,25.75074906,6
-82,-86,15,0,-138,-15,71.50246853,89,connected,3,3,5523,24,1,high-speed,millimeter wave,1,147,24.55621775,1,161,carrier aggregation,150,10782,69.67098236,9
-113,-98,26,3,-94,-15,36.79289497,78,connected,2,26,9679,99,0,high-speed,sub-6 GHz,0,425,7.5672625,0,258,MIMO,165,9440,76.77239089,2
-115,-79,26,3,-128,-17,63.93677777,85,connected,8,31,10802,105,0,stationary,sub-6 GHz,2,125,14.40876948,1,81,MIMO,406,10815,57.54530457,6
-102,-94,25,15,-124,-15,24.46918202,56,handover,7,33,4453,82,1,high-speed,millimeter wave,0,226,7.57864232,0,492,MIMO,340,10635,5.913517057,8
-110,-62,16,2,-136,-11,51.80547445,75,handover,9,34,5542,91,0,high-speed,sub-6 GHz,3,93,23.09025097,1,425,None,190,7021,72.09059176,10
-111,-86,22,11,-134,-8,14.54076955,29,connected,0,8,7381,25,0,high-speed,millimeter wave,3,370,17.46850253,0,7,carrier aggregation,428,12730,32.28420307,9
-91,-74,22,8,-97,-14,57.89191791,124,connected,6,7,7839,86,1,stationary,sub-6 GHz,0,134,4.488435164,1,467,carrier aggregation,342,10649,5.230058439,5
-91,-74,18,3,-89,-12,100,116,connected,6,25,13236,66,0,stationary,millimeter wave,2,154,14.48502679,1,136,carrier aggregation,494,7471,47.00237244,8
-71,-2,27,11,-77,-6,61.22838092,14,idle,5,26,5187,109,0,stationary,millimeter wave,4,343,9.164052299,1,374,None,174,11906,26.4494629,10
-120,-71,22,12,-82,-20,61.82967001,197,connected,5,22,8716,54,0,stationary,millimeter wave,3,396,7.889630705,0,350,None,270,11666,44.02260524,7
-81,-77,7,10,-107,-20,100,64,connected,4,28,5941,58,1,high-speed,millimeter wave,0,204,9.87877525,1,150,None,88,9461,12.69640724,4
-117,-68,10,7,-72,-14,91.99666094,1,connected,2,62,10521,87,0,stationary,millimeter wave,0,498,8.795089175,1,285,None,237,8564,69.50137322,8
-98,-30,4,15,-82,-17,79.31123417,168,connected,2,62,3655,51,0,high-speed,millimeter wave,2,333,2.759266869,1,249,None,145,9175,68.00616541,5
-107,-85,12,13,-110,-16,73.84545873,144,connected,0,25,13099,111,1,stationary,millimeter wave,2,225,18.95289409,1,478,None,482,6575,92.61407604,1
-87,-4,5,3,-117,-14,49.71073485,125,handover,4,45,7773,16,0,high-speed,sub-6 GHz,4,97,13.05295588,1,276,MIMO,289,11765,85.65508626,1
-105,-42,18,5,-96,-4,33.47896804,7,connected,3,29,14254,34,0,high-speed,millimeter wave,1,62,19.78375089,1,342,MIMO,498,9039,64.70358598,0
-97,-30,15,10,-95,-8,94.9492565,235,connected,9,42,4972,91,1,high-speed,sub-6 GHz,0,201,15.05592142,0,309,None,76,11220,51.14747198,10
-73,-37,24,12,-94,-20,15.81262099,111,connected,0,42,8065,44,0,stationary,sub-6 GHz,4,243,16.89591085,0,312,MIMO,417,2233,31.53942468,8
-81,-63,18,6,-124,-7,31.14872277,130,handover,3,1,4734,21,0,high-speed,sub-6 GHz,3,189,15.90936029,1,212,MIMO,75,12962,69.39107421,9
-98,-83,10,13,-128,-5,100,17,connected,1,62,10105,57,0,high-speed,millimeter wave,1,173,7.296264901,0,141,MIMO,182,12597,99.16317615,6
-78,-31,21,13,-98,-6,37.78425188,143,connected,5,16,6423,25,0,stationary,sub-6 GHz,4,376,15.83886167,0,360,carrier aggregation,415,3484,78.97783586,8
-111,-13,6,6,-118,-4,92.89775385,126,handover,4,28,12148,91,0,stationary,millimeter wave,1,57,22.81520498,0,11,None,135,9954,54.21106077,5
-94,-62,3,6,-80,-7,48.89639895,229,connected,3,59,12775,81,1,stationary,sub-6 GHz,2,9,22.10793661,0,453,MIMO,275,14016,91.34670185,8
-103,-11,19,6,-96,-20,100,142,idle,7,40,10411,103,1,stationary,sub-6 GHz,4,6,8.398167596,1,370,MIMO,303,5777,53.45406107,5
-74,-11,7,8,-97,-16,77.26818759,205,connected,2,36,8504,88,1,stationary,millimeter wave,3,201,2.672683316,1,481,MIMO,39,6593,44.78980767,2
-73,-56,26,14,-90,-8,100,106,connected,1,43,8767,81,1,stationary,millimeter wave,1,5,18.65091001,0,60,None,312,12299,10.1695839,2
-117,-97,14,15,-98,-14,77.13571383,161,connected,5,14,5205,58,1,high-speed,sub-6 GHz,4,399,21.54269641,1,401,None,181,12872,62.57992329,2
-73,-56,15,8,-80,-20,67.63420192,134,idle,0,5,13533,113,0,high-speed,millimeter wave,1,306,4.225574335,0,158,None,285,3598,6.55058516,0
-98,-5,18,11,-102,-17,91.56528862,35,connected,0,9,12366,111,1,high-speed,millimeter wave,0,304,24.28221092,1,453,carrier aggregation,351,11059,35.84897138,10
-76,-91,14,1,-123,-4,34.09768851,233,connected,7,35,7134,46,0,high-speed,sub-6 GHz,3,111,9.699425366,0,102,None,150,8973,98.52939299,7
-71,-7,11,0,-96,-5,46.44297642,2,connected,0,53,7901,84,1,stationary,millimeter wave,2,7,3.396324174,0,430,carrier aggregation,325,5656,62.53244521,10
-119,-41,10,9,-79,-13,50.01131324,261,connected,2,51,3079,44,0,stationary,millimeter wave,2,411,16.36822054,1,45,carrier aggregation,418,5190,12.93373312,8
-117,-72,30,8,-115,-14,46.81957102,53,connected,2,57,13275,49,1,stationary,sub-6 GHz,2,201,14.29520239,1,348,None,190,2698,33.19405644,3
-82,-35,1,13,-95,-14,97.86492657,222,connected,0,38,8410,98,0,stationary,millimeter wave,0,325,10.88751131,1,145,MIMO,461,8381,51.81472263,9
-82,-11,18,11,-104,-9,74.52949919,201,connected,4,53,11586,33,1,high-speed,millimeter wave,1,186,6.975776289,1,2,MIMO,42,5340,30.34390513,10
-97,-73,10,8,-71,-18,100,183,connected,7,46,6218,71,0,stationary,millimeter wave,3,31,14.61654854,0,66,carrier aggregation,177,11434,73.38857229,6
-106,-80,28,7,-132,-5,89.18325664,263,connected,7,48,8455,12,1,high-speed,sub-6 GHz,3,259,11.43495425,0,429,None,110,7040,10.25233747,3
-85,-18,29,8,-121,-11,64.464902,154,handover,8,48,5800,18,0,stationary,millimeter wave,4,432,11.26485386,0,43,None,221,8971,41.75984076,7
-116,-40,6,14,-110,-9,100,44,connected,4,28,5251,73,0,high-speed,millimeter wave,0,31,4.753828077,0,12,carrier aggregation,477,4846,9.178133859,9
-71,-41,9,5,-109,-17,81.96155726,183,connected,5,53,11046,74,0,stationary,sub-6 GHz,0,244,16.30608361,0,171,carrier aggregation,50,13332,83.19198211,5
-84,-63,17,5,-133,-4,40.34825979,263,connected,8,18,13323,87,1,high-speed,sub-6 GHz,3,295,8.558571448,0,266,carrier aggregation,210,7726,77.50240742,9
-89,-29,21,12,-74,-18,100,135,connected,0,56,8305,82,1,high-speed,sub-6 GHz,1,247,12.64670896,0,94,MIMO,459,11450,72.0073311,0
-108,-37,30,3,-83,-13,95.61833309,198,connected,3,3,4206,109,0,stationary,sub-6 GHz,1,152,6.10105138,0,239,None,233,8884,68.8115999,3
-97,-40,21,4,-126,-13,71.20263443,50,connected,9,50,4255,48,0,high-speed,sub-6 GHz,2,178,7.265565397,0,156,carrier aggregation,77,8589,78.8739905,10
-90,-56,8,10,-109,-5,35.06350079,17,connected,7,7,9454,65,1,high-speed,sub-6 GHz,1,444,9.671015137,1,183,MIMO,293,14198,65.83757107,2
-95,-43,5,1,-103,-17,62.17585866,10,handover,3,24,5273,21,1,stationary,millimeter wave,3,461,7.004608202,1,318,carrier aggregation,360,11551,95.19443167,4
-96,-56,20,12,-134,-11,64.67958042,239,connected,9,50,7232,61,0,high-speed,sub-6 GHz,0,363,4.601974796,1,196,MIMO,24,10283,81.92836783,4
-78,-30,22,2,-137,-11,41.00999778,15,connected,0,54,9740,44,1,stationary,sub-6 GHz,4,50,21.51622655,1,365,None,231,2795,70.11009338,9
-86,-45,25,8,-87,-8,57.80161683,105,idle,5,8,8421,59,0,high-speed,millimeter wave,3,171,2.886241863,1,452,None,165,4538,69.74061502,7
-75,-47,2,2,-94,-9,50.62227631,55,connected,5,12,13802,96,1,high-speed,sub-6 GHz,0,180,15.77410655,1,251,carrier aggregation,491,5938,43.92472227,1
-76,-6,16,12,-71,-15,11.57530762,211,connected,3,18,5048,42,0,stationary,sub-6 GHz,4,290,14.69678491,0,190,None,299,4901,55.37766756,9
-84,-41,14,15,-130,-8,98.97072856,39,idle,9,25,5287,97,0,high-speed,sub-6 GHz,0,263,19.80874682,0,37,MIMO,499,11386,46.34603219,4
-100,-43,21,6,-130,-4,69.53570497,238,handover,4,28,9805,59,0,high-speed,sub-6 GHz,2,205,5.479339104,1,96,carrier aggregation,378,3789,59.69831168,9
-98,-29,21,8,-103,-12,97.08254922,73,connected,3,0,9702,105,1,stationary,sub-6 GHz,3,281,8.633888253,1,457,None,194,5063,35.96956382,9
-83,-83,9,7,-115,-13,16.96037772,14,idle,6,22,7786,91,1,high-speed,sub-6 GHz,3,269,12.40411665,0,76,MIMO,472,13393,83.02499402,3
-91,-100,14,9,-101,-5,45.71118272,105,connected,7,25,7723,72,1,stationary,millimeter wave,4,266,12.73181269,1,52,None,467,4209,33.39015531,8
-114,-7,31,9,-133,-7,100,236,connected,1,52,9272,105,0,stationary,millimeter wave,4,365,7.545707642,1,121,MIMO,492,12408,59.49599694,0
-72,-55,9,10,-114,-20,89.52475854,77,idle,8,48,8129,80,1,high-speed,millimeter wave,0,471,10.06542426,1,354,carrier aggregation,362,10245,25.079001,3
-81,-42,21,3,-87,-19,29.06858657,114,idle,7,31,6303,78,1,high-speed,millimeter wave,3,354,22.53058071,0,329,MIMO,291,7685,49.91915213,5
-103,-15,28,8,-97,-16,57.16655367,64,connected,3,41,7807,80,0,high-speed,sub-6 GHz,1,54,6.532754582,1,225,MIMO,266,12147,18.92485362,1
-115,-65,19,14,-72,-9,100,160,connected,6,1,8682,35,1,high-speed,sub-6 GHz,4,363,21.55725083,0,153,MIMO,312,9996,46.56092181,6
-112,-49,5,9,-103,-18,27.19540325,49,idle,4,29,3033,119,1,high-speed,sub-6 GHz,4,237,7.285704683,1,495,MIMO,7,10772,44.10239252,3
-119,-25,5,6,-137,-18,86.21950579,158,connected,6,59,9485,70,1,high-speed,sub-6 GHz,4,444,15.14816863,1,163,MIMO,462,4594,25.57873865,8
-120,-89,26,4,-97,-13,25.11690927,177,connected,5,30,11391,34,0,stationary,sub-6 GHz,4,121,13.23185141,0,2,MIMO,288,11213,35.13425065,3
-72,-13,20,15,-102,-15,72.72587565,18,connected,9,33,6055,108,1,high-speed,sub-6 GHz,4,251,14.45304965,1,81,MIMO,251,12590,15.21768014,0
-80,-13,9,11,-89,-15,52.98422934,163,idle,3,46,8120,38,0,high-speed,sub-6 GHz,3,266,20.78700002,0,259,MIMO,155,4531,27.06663608,4
-118,-64,30,5,-135,-17,50.07627803,126,connected,2,33,5929,65,1,high-speed,sub-6 GHz,0,353,10.82249888,1,295,None,324,12284,50.13118068,8
-110,-45,0,8,-101,-14,84.18452177,224,connected,5,49,12194,89,0,high-speed,sub-6 GHz,3,294,1.923987082,1,147,carrier aggregation,500,11633,85.41936837,9
-77,-28,15,13,-81,-12,57.87921046,190,connected,5,14,9681,94,1,stationary,sub-6 GHz,0,297,14.66402343,1,503,None,440,14229,6.934671704,9
-74,-16,8,5,-76,-15,71.30420546,218,handover,3,46,11207,92,1,high-speed,millimeter wave,4,23,2.108693436,1,376,None,87,5448,91.83869629,2
-90,-71,30,4,-128,-16,81.49273733,137,connected,2,19,8946,70,1,high-speed,millimeter wave,1,141,12.79248174,0,10,carrier aggregation,385,6674,64.89505424,10
-80,-43,8,8,-72,-11,80.37076403,216,connected,4,56,14992,106,1,stationary,sub-6 GHz,4,422,19.84809096,1,254,carrier aggregation,468,5211,58.07220503,1
